Id,Pos for 5 steps,Pos for 10 steps,Pos for 20 steps,Pos for 50 steps,Pos for 100 steps,Pos for 200 steps
1,1,2,5,13,22,34
2,0,0,6,22,22,40
3,1,3,8,4,22,33
4,2,3,3,12,20,40
5,1,3,5,10,30,45
6,3,3,3,11,15,50
7,2,2,4,8,21,42
8,0,0,2,11,29,45
9,0,1,7,12,22,37
10,0,2,2,10,17,37
11,1,2,5,10,24,39
12,2,4,2,6,24,42
13,0,3,5,7,15,33
14,2,2,3,16,21,33
15,2,4,5,11,21,44
16,2,2,4,17,13,35
17,1,1,5,9,17,48
18,0,1,6,17,19,38
19,2,2,4,9,16,38
20,1,1,1,13,27,36
21,1,3,2,14,20,43
22,1,2,2,19,17,42
23,0,0,5,6,20,39
24,3,0,5,13,16,37
25,2,2,4,7,17,36
26,1,3,5,7,15,32
27,1,2,5,9,22,39
28,3,1,4,9,19,41
29,1,2,2,8,22,46
30,2,1,2,11,27,38
31,1,3,7,9,16,28
32,1,1,3,7,25,38
33,1,2,7,16,26,29
34,2,3,7,17,23,36
35,1,3,4,11,18,39
36,0,0,6,14,27,49
37,0,3,3,5,20,46
38,1,1,3,11,22,42
39,2,2,6,4,14,38
40,2,2,3,3,27,40
41,0,1,6,13,18,46
42,0,2,4,10,24,44
43,1,2,5,12,24,44
44,0,3,2,13,27,40
45,0,1,3,8,21,34
46,2,1,5,12,14,41
47,1,1,3,9,23,42
48,2,1,3,8,20,47
49,0,3,0,10,17,39
50,0,1,1,13,16,46
51,3,2,7,5,22,47
52,0,4,3,9,19,30
53,1,2,5,8,14,32
54,0,1,8,7,23,36
55,1,2,4,8,22,42
56,1,3,5,14,14,46
57,2,4,5,14,26,46
58,2,3,2,8,13,44
59,1,1,2,6,28,41
60,1,2,3,11,19,38
61,0,2,6,8,23,37
62,0,2,8,8,18,38
63,2,2,6,8,20,38
64,0,3,6,10,17,32
65,0,1,6,14,27,35
66,1,3,5,10,15,42
67,1,1,5,7,14,43
68,2,3,4,12,21,34
69,1,2,4,15,21,40
70,0,1,4,9,20,42
71,0,2,4,11,24,38
72,0,0,4,12,21,54
73,0,1,5,9,21,49
74,1,3,4,12,23,42
75,0,1,2,10,23,42
76,1,2,6,13,13,39
77,0,1,5,13,21,50
78,1,1,6,12,20,42
79,1,1,3,16,19,44
80,1,4,2,13,28,40
81,4,2,6,12,17,40
82,0,0,1,14,19,48
83,1,3,3,8,16,40
84,0,1,3,10,17,45
85,0,1,4,12,22,46
86,0,2,1,12,25,41
87,0,2,4,9,19,30
88,1,3,6,9,16,38
89,2,3,5,14,22,43
90,0,3,5,12,28,43
91,1,1,4,8,30,34
92,1,3,3,8,21,50
93,2,3,5,9,24,43
94,2,2,3,9,22,40
95,1,1,5,10,22,47
96,1,1,4,11,18,46
97,1,4,4,10,20,39
98,2,1,5,8,15,38
99,1,3,5,5,16,39
100,1,2,7,13,23,43
